Borough,Below LLW
City of London,"29,000"
Barking and Dagenham,"13,000"
Barnet,"33,000"
Bexley,"24,000"
Brent,"35,000"
Bromley,"29,000"
Camden,"40,000"
Croydon,"29,000"
Ealing,"31,000"
Enfield,"29,000"
Greenwich,"17,000"
Hackney,"19,000"
Hammersmith and Fulham,"23,000"
Haringey,"16,000"
Harrow,"20,000"
Havering,"25,000"
Hillingdon,"39,000"
Hounslow,"29,000"
Islington,"26,000"
Kensington and Chelsea,"20,000"
Kingston upon Thames,"23,000"
Lambeth,"28,000"
Lewisham,"14,000"
Merton,"23,000"
Newham,"23,000"
Redbridge,"18,000"
Richmond upon Thames,"15,000"
Southwark,"30,000"
Sutton,"29,000"
Tower Hamlets,"29,000"
Waltham Forest,"18,000"
Wandsworth,"23,000"
Westminster,"76,000"
