Borough ,Month,Average Price
Barking and Dagenham,2019-01,297180.8891
Barking and Dagenham,2019-02,293838.6476
Barking and Dagenham,2019-03,294064.7625
Barking and Dagenham,2019-04,295498.2169
Barking and Dagenham,2019-05,295092.0921
Barking and Dagenham,2019-06,293889.3093
Barking and Dagenham,2019-07,297426.4427
Barking and Dagenham,2019-08,299421.2615
Barking and Dagenham,2019-09,304778.0465
Barking and Dagenham,2019-10,304579.0648
Barking and Dagenham,2019-11,306390.2643
Barking and Dagenham,2019-12,301283.4446
Barnet,2019-01,528638.9614
Barnet,2019-02,523678.5865
Barnet,2019-03,516531.2233
Barnet,2019-04,512343.3437
Barnet,2019-05,503911.1858
Barnet,2019-06,512694.0604
Barnet,2019-07,514667.7638
Barnet,2019-08,528576.6123
Barnet,2019-09,526669.7755
Barnet,2019-10,525678.4213
Barnet,2019-11,522639.0128
Barnet,2019-12,519306.245
Bexley,2019-01,338707.822
Bexley,2019-02,339186.1492
Bexley,2019-03,336679.6447
Bexley,2019-04,339330.1231
Bexley,2019-05,336980.5882
Bexley,2019-06,339323.7005
Bexley,2019-07,338346.4036
Bexley,2019-08,337522.5984
Bexley,2019-09,333339.9516
Bexley,2019-10,332919.6691
Bexley,2019-11,333657.4832
Bexley,2019-12,336301.872
Brent,2019-01,479105.7131
Brent,2019-02,478494.2101
Brent,2019-03,475429.6451
Brent,2019-04,486252.778
Brent,2019-05,481803.4178
Brent,2019-06,474820.9106
Brent,2019-07,473849.0416
Brent,2019-08,488784.3601
Brent,2019-09,501532.5994
Brent,2019-10,494770.2634
Brent,2019-11,432187.6972
Brent,2019-12,427126.3498
Bromley,2019-01,440623.5669
Bromley,2019-02,439716.3247
Bromley,2019-03,435996.2994
Bromley,2019-04,431643.364
Bromley,2019-05,428092.8974
Bromley,2019-06,430001.8857
Bromley,2019-07,434256.6273
Bromley,2019-08,442189.465
Bromley,2019-09,441057.5009
Bromley,2019-10,439178.3963
Bromley,2019-11,436079.6255
Bromley,2019-12,438681.811
Camden,2019-01,867808.2909
Camden,2019-02,864013.6218
Camden,2019-03,808859.9893
Camden,2019-04,820812.0189
Camden,2019-05,838678.634
Camden,2019-06,871957.4503
Camden,2019-07,890288.4056
Camden,2019-08,863170.6139
Camden,2019-09,838169.607
Camden,2019-10,804713.1225
Camden,2019-11,825336.3136
Camden,2019-12,807124.1868
Croydon,2019-01,365096.0603
Croydon,2019-02,364405.5423
Croydon,2019-03,367440.2781
Croydon,2019-04,363627.4384
Croydon,2019-05,364097.3147
Croydon,2019-06,363420.0875
Croydon,2019-07,365874.7819
Croydon,2019-08,364540.2452
Croydon,2019-09,365225.8121
Croydon,2019-10,364412.8327
Croydon,2019-11,367584.5609
Croydon,2019-12,369567.8832
Ealing,2019-01,483335.7786
Ealing,2019-02,476647.5977
Ealing,2019-03,467017.2121
Ealing,2019-04,461457.9551
Ealing,2019-05,465752.3855
Ealing,2019-06,474844.3044
Ealing,2019-07,475591.7986
Ealing,2019-08,474627.2689
Ealing,2019-09,473161.8767
Ealing,2019-10,477369.1395
Ealing,2019-11,475491.5952
Ealing,2019-12,469662.0338
Enfield,2019-01,395616.1766
Enfield,2019-02,397254.1728
Enfield,2019-03,393925.7137
Enfield,2019-04,393880.4735
Enfield,2019-05,388590.8834
Enfield,2019-06,390707.6753
Enfield,2019-07,388053.4705
Enfield,2019-08,393032.6376
Enfield,2019-09,386806.0139
Enfield,2019-10,392720.5377
Enfield,2019-11,393255.1074
Enfield,2019-12,400182.3926
Greenwich,2019-01,385702.913
Greenwich,2019-02,391920.6904
Greenwich,2019-03,385654.5896
Greenwich,2019-04,381586.241
