Borough,Average Price 2019,Average Price 2020
City of London,700034.0265,803046
Barking and Dagenham,300143.4446,403389
Barnet,500306.245,635340
Bexley,306001.872,443470
Brent,427126.3498,542324
Bromley,438681.811,555219
Camden,807124.1868,853155
Croydon,369567.8832,421139.2376
Ealing,469662.0338,506143.1385
Enfield,400182.3926,494441.6624
Greenwich,398024.3786,506033
Hackney,552784.8607,652731
Hammersmith and Fulham,728698.0572,829570
Haringey,565582.061,649048.6846
Harrow,446899.5423,560215
Havering,365885.5708,477665
Hillingdon,404843.1664,430984
Hounslow,409569.3406,408631.7179
Islington,648968.8895,769450.7156
Kensington and Chelsea,1231764.562,1346455.641
Kingston upon Thames,487696.1182,502407.2465
Lambeth,521705.2055,552828
Lewisham,413462.24,432541
Merton,500651.1159,555325.7763
Newham,360934.0315,392662
Redbridge,424631.0449,482138
Richmond upon Thames,655377.8496,699675
Southwark,505499.1431,520770.6138
Sutton,372581.4288,386214
Tower Hamlets,456436.006,467574.0254
Waltham Forest,437333.4162,461726.9731
Wandsworth,605559.8685,695803
Westminster,960943.073,925004
