MajorText,Borough,AvgCrime2019
Arson and Criminal Damage,Barking and Dagenham,1502
Burglary,Barking and Dagenham,1547
Drug Offences,Barking and Dagenham,1156
Miscellaneous Crimes Against Society,Barking and Dagenham,308
Possession of Weapons,Barking and Dagenham,161
Public Order Offences,Barking and Dagenham,1012
Robbery,Barking and Dagenham,1080
Sexual Offences,Barking and Dagenham,664
Theft,Barking and Dagenham,3671
Vehicle Offences,Barking and Dagenham,2764
Violence Against the Person,Barking and Dagenham,6165
Arson and Criminal Damage,Barnet,2801
Burglary,Barnet,3726
Drug Offences,Barnet,865
Miscellaneous Crimes Against Society,Barnet,15
Possession of Weapons,Barnet,172
Public Order Offences,Barnet,1806
Robbery,Barnet,1295
Sexual Offences,Barnet,556
Theft,Barnet,6766
Vehicle Offences,Barnet,6635
Violence Against the Person,Barnet,7370
Arson and Criminal Damage,Bexley,1630
Burglary,Bexley,1761
Drug Offences,Bexley,738
Miscellaneous Crimes Against Society,Bexley,247
Possession of Weapons,Bexley,128
Public Order Offences,Bexley,1158
Robbery,Bexley,383
Sexual Offences,Bexley,384
Theft,Bexley,2890
Vehicle Offences,Bexley,3437
Violence Against the Person,Bexley,5307
Arson and Criminal Damage,Brent,2124
Burglary,Brent,2686
Drug Offences,Brent,1783
Miscellaneous Crimes Against Society,Brent,352
Possession of Weapons,Brent,283
Public Order Offences,Brent,1888
Robbery,Brent,1417
Sexual Offences,Brent,662
Theft,Brent,5788
Vehicle Offences,Brent,4717
Violence Against the Person,Brent,8755
Arson and Criminal Damage,Bromley,2017
Burglary,Bromley,2749
Drug Offences,Bromley,1150
Miscellaneous Crimes Against Society,Bromley,297
Possession of Weapons,Bromley,148
Public Order Offences,Bromley,1620
Robbery,Bromley,507
Sexual Offences,Bromley,563
Theft,Bromley,5347
Vehicle Offences,Bromley,4276
Violence Against the Person,Bromley,6526
Arson and Criminal Damage,Camden,1659
Burglary,Camden,3377
,,
Drug Offences,Camden,1855
,,
Miscellaneous Crimes Against Society,Camden,286
Possession of Weapons,Camden,236
,,
,,
,,
,,
Public Order Offences,Camden,2027
,,
,,
,,
Robbery,Camden,1924
,,
Sexual Offences,Camden,695
,,
Theft,Camden,17239
,,
,,
,,
Vehicle Offences,Camden,3856
,,
,,
,,
Violence Against the Person,Camden,6648
,,
,,
Arson and Criminal Damage,Croydon,2459
,,
Burglary,Croydon,2826
,,
Drug Offences,Croydon,2457
,,
Miscellaneous Crimes Against Society,Croydon,470
Possession of Weapons,Croydon,355
,,
,,
,,
,,
Public Order Offences,Croydon,2135
,,
,,
,,
Robbery,Croydon,1167
,,
Sexual Offences,Croydon,1039
,,
Theft,Croydon,6010
,,
,,
,,
Vehicle Offences,Croydon,5117
,,
,,
,,
Violence Against the Person,Croydon,9826
,,
,,
Arson and Criminal Damage,Ealing,2218
,,
Burglary,Ealing,2915
,,
Drug Offences,Ealing,1706
,,
Miscellaneous Crimes Against Society,Ealing,367
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Ealing,263
,,
,,
,,
,,
Public Order Offences,Ealing,2047
,,
,,
,,
Robbery,Ealing,1305
,,
Sexual Offences,Ealing,715
,,
Theft,Ealing,6148
,,
,,
,,
Vehicle Offences,Ealing,5542
,,
,,
,,
Violence Against the Person,Ealing,8605
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Arson and Criminal Damage,Enfield,2104
,,
Burglary,Enfield,3232
,,
Drug Offences,Enfield,1096
,,
Miscellaneous Crimes Against Society,Enfield,402
Possession of Weapons,Enfield,276
,,
,,
,,
,,
Public Order Offences,Enfield,1577
,,
,,
,,
Robbery,Enfield,1720
,,
Sexual Offences,Enfield,632
,,
Theft,Enfield,5369
,,
,,
,,
Vehicle Offences,Enfield,6169
,,
,,
,,
Violence Against the Person,Enfield,7999
,,
,,
Arson and Criminal Damage,Greenwich,2215
,,
Burglary,Greenwich,2531
,,
Drug Offences,Greenwich,1307
,,
Miscellaneous Crimes Against Society,Greenwich,423
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Possession of Weapons,Greenwich,251
,,
,,
,,
,,
Public Order Offences,Greenwich,1832
,,
,,
,,
Robbery,Greenwich,874
,,
Sexual Offences,Greenwich,806
,,
Theft,Greenwich,5728
,,
,,
,,
