MajorText,Borough,AvgCrime2019,,,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912
Arson and Criminal Damage,Barking and Dagenham,1502,,,5,2,5,5,11,3,5,3,6,9,8,6
Burglary,Barking and Dagenham,1547,,,97,127,138,130,140,113,134,118,109,109,97,122
Drug Offences,Barking and Dagenham,1156,,,45,24,29,27,21,27,31,35,37,30,30,26
Miscellaneous Crimes Against Society,Barking and Dagenham,308,,,114,107,99,96,114,96,71,67,80,97,114,130
Possession of Weapons,Barking and Dagenham,161,,,6,2,6,5,9,6,11,7,7,9,12,3
Public Order Offences,Barking and Dagenham,1012,,,79,74,118,104,86,100,92,74,83,89,95,79
Robbery,Barking and Dagenham,1080,,,0,0,0,0,0,0,0,0,1,0,0,0
Sexual Offences,Barking and Dagenham,664,,,0,0,0,0,0,0,0,1,0,0,0,1
Theft,Barking and Dagenham,3671,,,1,0,1,1,1,0,1,2,0,2,1,2
Vehicle Offences,Barking and Dagenham,2764,,,0,0,1,0,0,0,0,0,0,0,0,0
Violence Against the Person,Barking and Dagenham,6165,,,0,0,0,0,0,0,0,0,0,0,0,0
Arson and Criminal Damage,Barnet,2801,,,2,0,0,0,0,1,2,0,0,1,0,0
Burglary,Barnet,3726,,,0,1,2,1,2,3,0,0,0,2,0,0
Drug Offences,Barnet,865,,,2,1,1,3,3,3,3,4,0,0,3,0
Miscellaneous Crimes Against Society,Barnet,15,,,0,2,2,0,1,1,1,2,0,0,1,0
Possession of Weapons,Barnet,172,,,6,12,6,11,13,10,4,5,8,10,15,7
Public Order Offences,Barnet,1806,,,0,0,2,0,4,1,0,2,2,0,3,1
Robbery,Barnet,1295,,,1,2,1,0,2,1,1,0,1,2,1,0
Sexual Offences,Barnet,556,,,0,0,0,0,0,1,0,0,0,0,0,0
Theft,Barnet,6766,,,0,5,1,2,1,1,2,4,3,1,2,2
Vehicle Offences,Barnet,6635,,,1,2,0,1,2,2,0,0,0,0,0,0
Violence Against the Person,Barnet,7370,,,0,0,1,0,1,0,1,0,1,2,1,1
Arson and Criminal Damage,Bexley,1630,,,4,3,5,3,10,6,3,14,7,5,1,5
Burglary,Bexley,1761,,,0,0,0,1,0,0,0,0,0,0,0,0
Drug Offences,Bexley,738,,,0,0,0,0,0,0,0,0,1,0,0,0
Miscellaneous Crimes Against Society,Bexley,247,,,5,5,8,4,7,5,5,4,4,6,5,3
Possession of Weapons,Bexley,128,,,2,2,2,0,4,1,0,1,2,0,0,0
Public Order Offences,Bexley,1158,,,1,0,6,2,3,1,0,0,2,3,2,0
Robbery,Bexley,383,,,3,5,8,6,11,1,4,3,9,6,5,4
Sexual Offences,Bexley,384,,,7,8,12,20,18,8,16,11,12,13,14,17
Theft,Bexley,2890,,,33,56,67,59,71,85,69,66,63,94,50,48
Vehicle Offences,Bexley,3437,,,16,18,20,24,22,16,18,19,23,28,15,30
Violence Against the Person,Bexley,5307,,,0,0,0,0,1,1,0,0,0,0,0,0
Arson and Criminal Damage,Brent,2124,,,5,8,2,2,7,6,2,8,5,7,8,9
Burglary,Brent,2686,,,79,66,84,93,125,102,101,73,79,96,62,51
