Year,Boroughs,PassRate
2019,Barking and Dagenham,42.6
2019,Barnet,62.7
2019,Bexley,49.4
2019,Brent,50.5
2019,Bromley,51.1
2019,Camden,46.3
2019,Croydon,40.5
2019,Ealing,53.6
2019,Enfield,43.2
2019,Greenwich,41.4
2019,Hackney,47.6
2019,Hammersmith and Fulham,55.7
2019,Haringey,43.1
2019,Harrow,50.1
2019,Havering,48.5
2019,Hillingdon,46.7
2019,Hounslow,49.1
2019,Islington,42.3
2019,Kensington and Chelsea,55.7
2019,Kingston upon Thames,61.6
2019,Lambeth,39.1
2019,Lewisham,37.4
2019,Merton,48.9
2019,Newham,46.7
2019,Redbridge,59.5
2019,Richmond upon Thames,55.6
2019,Southwark,45.5
2019,Sutton,64.3
2019,Tower Hamlets,45.8
2019,Waltham Forest,42.7
2019,Wandsworth,48.3
2019,Westminster,53.5
