Borough,Life Satisfaction,Happiness
Barking and Dagenham,7.52,7.67
Barnet,7.55,7.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bexley,7.54,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brent,7.71,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromley,7.57,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camden,7.48,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croydon,7.69,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ealing,7.53,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,7.37,7.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenwich,7.54,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hackney,7.5,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hammersmith and Fulham,7.72,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haringey,7.35,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrow,7.65,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havering,7.68,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillingdon,7.76,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hounslow,7.85,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islington,7.51,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington and Chelsea,7.23,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingston upon Thames,7.78,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth,7.22,7.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewisham,7.49,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merton,7.84,7.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newham,7.54,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redbridge,7.54,7.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond upon Thames,7.7,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southwark,7.34,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutton,7.88,7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tower Hamlets,7.82,7.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waltham Forest,7.46,7.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wandsworth,7.65,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westminster,7.66,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
